"","tourism","lat","lon","place","name","website"
"399",1,48.728599,-3.4629904,France,340,NA
"400",1,43.458223,-1.5534231,France,329,NA
"401",1,43.9875616,5.4563729,France,538,NA
"402",1,43.2921491,5.3749207,France,499,NA
"403",1,3.621231,-53.2113786,France,396,NA
"404",1,3.6211681,-53.2102047,France,536,154
"405",1,48.930518,2.4951251,France,NA,NA
"406",1,46.960189,6.4564778,France,445,NA
"407",1,5.4110644,-53.6550033,France,448,129
"408",1,4.5698406,-52.2168242,France,376,NA
"409",1,43.7652011,-0.0331072,France,473,NA
"410",1,47.5530555,1.2864646,France,541,NA
"411",1,48.7311462,-1.5140219,France,506,NA
"412",1,45.2644968,5.7641418,France,388,NA
"413",1,49.097196,6.174601,France,426,NA
"414",1,49.101446,6.177061,France,430,NA
"415",1,48.8510853,2.3787436,France,368,NA
"416",1,48.907212,2.261054,France,582,NA
"417",1,43.1627334,-1.2369875,France,459,NA
"418",1,42.1364237,8.9829313,France,468,NA
"419",1,43.8524946,6.5040134,France,377,NA
"420",1,45.0237259,5.5172119,France,542,NA
"421",1,48.7426751,-3.5487808,France,348,NA
"422",1,48.8826099,2.3691145,France,360,NA
"423",1,48.867232,2.3689642,France,359,143
"424",1,42.7925182,0.4268585,France,338,NA
"425",1,42.7936283,0.4249774,France,477,NA
"426",1,43.0175138,-0.9545139,France,394,NA
"427",1,49.0828779,-1.5845541,France,NA,NA
"428",1,45.3144359,5.2549721,France,457,125
"429",1,45.9088818,6.8546373,France,350,NA
"430",1,44.1302635,6.8307285,France,467,NA
"431",1,47.239653,-2.156257,France,494,NA
"432",1,48.4611312,7.2047977,France,427,161
"433",1,48.899216,2.2011409,France,411,136
"434",1,48.834321,-1.600363,France,524,NA
"435",1,3.6245991,-53.2117688,France,529,148
"436",1,3.62777,-53.2115503,France,512,NA
"437",1,3.6239375,-53.2109974,France,372,NA
"438",1,15.9071372,-61.2243315,France,336,NA
"439",1,16.0025147,-61.2865695,France,597,NA
"440",1,15.960928,-61.2397489,France,NA,NA
"441",1,49.1276132,6.1733989,France,357,142
"442",1,47.733407,-3.3962145,France,355,NA
"443",1,46.1776742,6.7080532,France,NA,NA
"444",1,44.5012614,3.7613214,France,442,NA
"445",1,43.2821302,3.3626665,France,NA,NA
"446",1,44.3655015,3.7464197,France,441,NA
"447",1,47.8534955,7.1355148,France,412,139
"448",1,45.5565891,4.8572191,France,492,NA
"449",1,49.1089253,6.212868,France,548,NA
"450",1,49.1101895,6.2125086,France,549,NA
"451",1,42.8352383,0.934751,France,471,NA
"452",1,42.8326089,0.6193041,France,470,NA
"453",1,42.8738447,0.7343672,France,472,NA
"454",1,44.5550803,2.6722975,France,500,NA
"455",1,49.7817423,3.8979335,France,434,NA
"456",1,44.6137666,2.2553622,France,493,NA
"457",1,49.1550372,2.520686,France,NA,NA
"458",1,3.6094037,-53.1748727,France,379,NA
"459",1,45.1523735,4.0390642,France,NA,NA
"460",1,43.7021912,7.2693246,France,535,NA
"461",1,43.1146686,2.8342676,France,NA,NA
"462",1,50.8639326,1.5906171,France,422,116
"463",1,48.0506435,6.8376471,France,334,NA
"464",1,47.7464568,1.8099401,France,NA,NA
"465",1,44.9575305,5.961135,France,450,NA
"466",1,47.422808,1.146665,France,366,NA
"467",1,48.36853,-3.8627471,France,NA,NA
"468",1,43.0271506,0.3552783,France,NA,NA
"469",1,43.0379339,0.3627027,France,NA,NA
"470",1,47.9826277,7.1194643,France,415,122
"471",1,44.5990272,2.3985986,France,327,NA
"472",1,48.8850372,2.1960197,France,539,NA
"473",1,45.4118248,4.2405353,France,330,140
"474",1,49.1423818,0.2290565,France,408,NA
"475",1,47.4658338,3.7469284,France,389,NA
"476",1,45.5351225,6.7711741,France,393,163
"477",1,43.9213113,4.3122535,France,555,NA
"478",1,47.7923427,0.4122874,France,526,NA
"479",1,48.8318743,2.3045521,France,335,113
"480",1,48.8340255,2.3533911,France,562,NA
"481",1,48.885206,3.3623751,France,476,NA
"482",1,44.6595745,6.640333,France,365,NA
"483",1,45.2626594,4.6534503,France,489,NA
"484",1,48.8879396,2.3792587,France,397,NA
"485",1,44.6218225,6.6322671,France,592,NA
"486",1,45.7868544,3.7778512,France,478,NA
"487",1,44.9230318,2.8385176,France,516,NA
"488",1,45.3673549,4.527947,France,496,NA
"489",1,42.8096917,0.3515927,France,443,NA
"490",1,47.3916653,1.0067836,France,595,NA
"491",1,45.4606163,5.8658376,France,544,NA
"492",1,42.4921223,2.1399643,France,455,NA
"493",1,42.4909464,2.1382834,France,461,NA
"494",1,43.1460767,2.2853673,France,584,NA
"495",1,47.8687105,-3.9171972,France,339,NA
"496",1,43.5746772,2.3796586,France,451,NA
"497",1,45.5388068,4.3303802,France,NA,NA
"498",1,47.7385784,7.3175678,France,358,150
"499",1,48.7274458,4.6201747,France,381,132
"500",1,46.0222204,3.7533185,France,NA,NA
"501",1,44.3220962,6.8610398,France,474,112
"502",1,46.8812573,-0.914274,France,568,NA
"503",1,48.8839843,2.3501705,France,432,NA
"504",1,43.88322,3.7213763,France,NA,NA
"505",1,5.7451803,-53.9388545,France,395,NA
"506",1,44.1816847,6.6260952,France,380,NA
"507",1,42.8619832,-0.391184,France,497,NA
"508",1,47.9020973,6.914433,France,420,157
"509",1,44.5959466,4.0541696,France,417,NA
"510",1,44.7594469,2.4611679,France,460,NA
"511",1,-17.497896,-149.8635533,France,591,NA
"512",1,-16.7225391,-151.0312445,France,503,NA
"513",1,-16.6344861,-151.5464819,France,589,NA
"514",1,-16.5828744,-151.4854134,France,564,NA
"515",1,-16.6840696,-151.4842118,France,NA,NA
"516",1,-16.6513032,-151.5227068,France,593,NA
"517",1,-16.8119159,-151.4133156,France,599,NA
"518",1,-16.7979068,-151.4010848,France,571,NA
"519",1,48.457114,-5.1228226,France,382,133
"520",1,48.5943036,-4.5695806,France,386,NA
"521",1,43.1587949,6.2200184,France,598,NA
"522",1,46.5650262,0.3111824,France,NA,NA
"523",1,44.2760625,5.2742529,France,409,NA
"524",1,49.502394,0.085923,France,NA,NA
"525",1,42.8172663,2.742344,France,384,NA
"526",1,48.8894057,2.4007914,France,343,NA
"527",1,46.7132397,6.1943601,France,454,NA
"528",1,47.3337889,4.096263,France,385,NA
"529",1,46.4850999,0.1849751,France,521,NA
"530",1,43.2576011,1.1991398,France,NA,NA
"531",1,-17.5402531,-149.5630701,France,590,NA
"532",1,47.7437442,-3.381864,France,NA,NA
"533",1,46.3837351,4.191378,France,557,120
"534",1,47.8305709,7.0108768,France,421,114
"535",1,42.955754,-0.2145168,France,435,144
"536",1,43.2222317,-0.8898688,France,NA,NA
"537",1,5.1789612,-54.3271511,France,556,NA
"538",1,46.1247616,3.108034,France,558,121
"539",1,43.6318653,3.8546046,France,491,NA
"540",1,45.9509801,5.6593164,France,NA,NA
"541",1,43.2448201,1.2894582,France,481,NA
"542",1,43.3016197,5.3792179,France,594,NA
"543",1,47.8397686,1.9412106,France,347,NA
"544",1,48.8886172,2.3628833,France,363,151
"545",1,47.79634,1.6267613,France,345,NA
"546",1,48.5254523,-2.784918,France,361,NA
