"","lat","lon","place","generator.source"
"399",54.2853068,8.9980839,"Schleswig-Holstein","wind"
"400",54.286567,8.992335,"Schleswig-Holstein","wind"
"401",54.1789734,9.0173592,"Schleswig-Holstein","wind"
"402",54.1666717,9.0241071,"Schleswig-Holstein","wind"
"403",54.1682719,9.0225001,"Schleswig-Holstein","wind"
"404",54.1713818,9.0192217,"Schleswig-Holstein","wind"
"405",54.172666,9.0230308,"Schleswig-Holstein","wind"
"406",54.286342,8.995745,"Schleswig-Holstein","wind"
"407",54.291303,8.990306,"Schleswig-Holstein","wind"
"408",54.1799126,9.0147671,"Schleswig-Holstein","wind"
"409",54.398776,8.956686,"Schleswig-Holstein","wind"
"410",54.397782,8.944719,"Schleswig-Holstein","wind"
"411",54.396665,8.959353,"Schleswig-Holstein","wind"
"412",54.3947256,8.9343788,"Schleswig-Holstein","wind"
"413",54.3926276,8.9363212,"Schleswig-Holstein","wind"
"414",54.394746,8.947665,"Schleswig-Holstein","wind"
"415",54.1629178,9.0173842,"Schleswig-Holstein","wind"
"416",54.1662591,9.0189599,"Schleswig-Holstein","wind"
"417",54.1645724,9.0233666,"Schleswig-Holstein","wind"
"418",54.1640818,9.0158313,"Schleswig-Holstein","wind"
"419",54.1697363,9.0262378,"Schleswig-Holstein","wind"
"420",54.1647268,9.020047,"Schleswig-Holstein","wind"
"421",54.521206,9.425273,"Schleswig-Holstein","wind"
"422",54.598819,9.017135,"Schleswig-Holstein","wind"
"423",54.5957728,9.0145119,"Schleswig-Holstein","wind"
"424",54.592699,9.013913,"Schleswig-Holstein","wind"
"425",54.1626191,8.9645273,"Schleswig-Holstein","wind"
"426",54.1639164,8.9638779,"Schleswig-Holstein","wind"
"427",54.1611136,8.9653733,"Schleswig-Holstein","wind"
"428",54.5443828,9.4151939,"Schleswig-Holstein","wind"
"429",54.605677,9.65983,"Schleswig-Holstein","wind"
"430",54.606366,9.668449,"Schleswig-Holstein","wind"
"431",54.603215,9.667841,"Schleswig-Holstein","wind"
"432",54.608893,9.6699,"Schleswig-Holstein","wind"
"433",54.528437,9.109771,"Schleswig-Holstein","wind"
"434",53.951139,10.803165,"Schleswig-Holstein","wind"
"435",54.3329885,11.014164,"Schleswig-Holstein","wind"
"436",54.3363512,11.0096009,"Schleswig-Holstein","wind"
"437",54.1646123,8.9696524,"Schleswig-Holstein","wind"
"438",54.161516,8.9695669,"Schleswig-Holstein","wind"
"439",54.461997,9.1576804,"Schleswig-Holstein","wind"
"440",54.4594152,9.1557567,"Schleswig-Holstein","wind"
"441",54.461905,9.151415,"Schleswig-Holstein","wind"
"442",54.462569,9.145031,"Schleswig-Holstein","wind"
"443",54.540812,9.426343,"Schleswig-Holstein","wind"
"444",54.459614,9.143802,"Schleswig-Holstein","wind"
"445",54.458304,9.149366,"Schleswig-Holstein","wind"
"446",53.931878,8.941742,"Schleswig-Holstein","wind"
"447",54.3644295,10.3531306,"Schleswig-Holstein","wind"
"448",54.27051,8.962671,"Schleswig-Holstein","wind"
"449",54.268907,8.95349,"Schleswig-Holstein","wind"
"450",54.26898,8.958496,"Schleswig-Holstein","wind"
"451",54.267136,8.953984,"Schleswig-Holstein","wind"
"452",54.267858,8.960601,"Schleswig-Holstein","wind"
"453",54.264727,8.953495,"Schleswig-Holstein","wind"
"454",54.296363,9.002044,"Schleswig-Holstein","wind"
"455",54.288454,8.996083,"Schleswig-Holstein","wind"
"456",54.293433,8.9918869,"Schleswig-Holstein","wind"
"457",54.52525,9.106981,"Schleswig-Holstein","wind"
"458",54.527336,9.094502,"Schleswig-Holstein","wind"
"459",54.52637,9.100448,"Schleswig-Holstein","wind"
"460",54.271817,8.97844,"Schleswig-Holstein","wind"
"461",54.2698445,8.9760664,"Schleswig-Holstein","wind"
